year,month,day,time,weather,weather_desc,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust
2025,05,05,18:00:00,Clouds,overcast clouds,286.46,285.13,285.91,286.46,1021,49,5.03,54,8.12
2025,05,05,21:00:00,Clouds,scattered clouds,283.38,281.92,281.71,283.38,1024,56,3.95,36,8.16
2025,05,06,00:00:00,Clear,clear sky,279.13,276.65,279.13,279.13,1025,76,3.27,28,9.2
2025,05,06,03:00:00,Clear,clear sky,278.32,276.48,278.32,278.32,1025,74,2.24,24,8.11
2025,05,06,06:00:00,Clear,clear sky,279.91,277.9,279.91,279.91,1026,67,2.82,17,6.36
2025,05,06,09:00:00,Clouds,scattered clouds,284.12,282.63,284.12,284.12,1026,52,4.27,36,6.31
2025,05,06,12:00:00,Clouds,scattered clouds,287.36,286.01,287.36,287.36,1025,45,4.81,37,5.7
2025,05,06,15:00:00,Clouds,scattered clouds,287.55,286.35,287.55,287.55,1024,50,4.72,38,4.9
2025,05,06,18:00:00,Clouds,broken clouds,285.41,284.23,285.41,285.41,1025,59,3.59,18,5.71
2025,05,06,21:00:00,Clouds,broken clouds,283.07,282.06,283.07,283.07,1025,76,2.25,32,5.61
2025,05,07,00:00:00,Clouds,broken clouds,281.3,280.06,281.3,281.3,1025,81,2.15,26,5.81
2025,05,07,03:00:00,Clouds,overcast clouds,280.13,278.78,280.13,280.13,1025,83,2.05,13,5.9
2025,05,07,06:00:00,Clouds,overcast clouds,280.57,278.5,280.57,280.57,1025,81,3.1,19,7.48
2025,05,07,09:00:00,Clouds,overcast clouds,285.26,283.99,285.26,285.26,1024,56,3.92,29,6.03
2025,05,07,12:00:00,Clouds,overcast clouds,288.55,287.29,288.55,288.55,1023,44,4.51,25,6.31
2025,05,07,15:00:00,Clouds,overcast clouds,288.95,287.76,288.95,288.95,1021,45,5.52,21,6.06
2025,05,07,18:00:00,Clouds,overcast clouds,286.11,284.87,286.11,286.11,1022,54,4.62,31,6.09
2025,05,07,21:00:00,Clouds,overcast clouds,283.61,282.46,283.61,283.61,1022,67,3.47,34,6.73
2025,05,08,00:00:00,Clouds,overcast clouds,283.25,281.88,283.25,283.25,1021,60,2.89,22,6.26
2025,05,08,03:00:00,Clouds,scattered clouds,280.19,278.09,280.19,280.19,1021,79,3.02,25,8.26
2025,05,08,06:00:00,Clouds,few clouds,280.28,277.87,280.28,280.28,1020,81,3.56,28,7.75
2025,05,08,09:00:00,Clouds,scattered clouds,285.47,284.19,285.47,285.47,1020,55,4.01,47,5.47
2025,05,08,12:00:00,Clouds,scattered clouds,287.96,286.83,287.96,287.96,1019,51,3.98,70,5.24
2025,05,08,15:00:00,Clouds,overcast clouds,289.08,287.9,289.08,289.08,1019,45,5.14,73,6.55
2025,05,08,18:00:00,Clouds,broken clouds,288.3,287.12,288.3,288.3,1020,48,4.43,70,7.32
2025,05,08,21:00:00,Clear,clear sky,284.54,283.41,284.54,284.54,1021,64,4.15,52,10.43
2025,05,09,00:00:00,Clear,clear sky,282.3,280.39,282.3,282.3,1021,67,3.44,47,9.64
2025,05,09,03:00:00,Clouds,few clouds,281.29,279.7,281.29,281.29,1021,81,2.59,41,10.45
2025,05,09,06:00:00,Clouds,scattered clouds,282.96,281.27,282.96,282.96,1021,81,3.29,58,9.95
2025,05,09,09:00:00,Clouds,overcast clouds,288.38,287.21,288.38,288.38,1022,48,4.75,71,8.43
2025,05,09,12:00:00,Clouds,overcast clouds,290.78,289.56,290.78,290.78,1022,37,5.72,79,7.65
2025,05,09,15:00:00,Clouds,few clouds,290.75,289.56,290.75,290.75,1021,38,5.71,76,7.35
2025,05,09,18:00:00,Clouds,few clouds,288.32,287.02,288.32,288.32,1022,43,4.79,68,6.79
2025,05,09,21:00:00,Clouds,few clouds,284.66,283.49,284.66,284.66,1023,62,3.52,57,9.02
2025,05,10,00:00:00,Clouds,few clouds,282.91,281.43,282.91,282.91,1023,71,2.91,53,9.29
2025,05,10,03:00:00,Clear,clear sky,281.55,280.11,281.55,281.55,1023,80,2.45,45,7.92
2025,05,10,06:00:00,Clear,clear sky,282.9,281.49,282.9,282.9,1023,80,2.78,56,7.02
2025,05,10,09:00:00,Clear,clear sky,289.22,288.08,289.22,289.22,1022,46,4.62,80,7.57
2025,05,10,12:00:00,Clear,clear sky,291.44,290.29,291.44,291.44,1021,37,5.14,88,6.73
2025,05,10,15:00:00,Clear,clear sky,291.09,289.96,291.09,291.09,1021,39,5.28,89,6.84
